TAXA,COMMON_NAME,TREE_TYPE,LAT,LONG,X,Z
liquidambar styraciflua,alligator-wood,deciduous,49.26021,-123.247603,2414.978527338031,-315.3960596623575
liquidambar styraciflua,alligator-wood,deciduous,49.260272,-123.247417,2430.1628520792765,-315.078536278437
hamamelis,witch-hazel,deciduous,49.260053,-123.246931,2449.830980546779,-276.9160534416826
liquidambar styraciflua,alligator-wood,deciduous,49.260408,-123.247035,2461.8029215140236,-315.2757805455053
thuja plicata,pacific red-cedar,coniferous,49.268951,-123.257882,2214.919650924173,-1525.1626280141154
robinia pseudoacacia 'frisia',,deciduous,49.26025,-123.249956,2266.1778420384694,-400.18902400505783
prunus serrulata 'kanzan',,deciduous,49.264033,-123.255408,2115.2367094624547,-958.2570801002837
malus x domestica,,deciduous,49.2639,-123.255395,2109.0847850520245,-944.7787288832363
platanus x hispanica,london plane,deciduous,49.263593,-123.255688,2074.171958612033,-924.7700336609028
cupressus nootkatensis,yellow cypress,coniferous,49.270415,-123.254701,2495.767068283684,-1559.2745660563432
chamaecyparis obtusa 'nana',,coniferous,49.268899,-123.257762,2219.8822255011273,-1515.9430427992638
cercis canadensis 'forest pansy',,deciduous,49.268327,-123.258454,2145.468642891131,-1483.6846251509824
pinus thunbergii,black pine,coniferous,49.259925,-123.247983,2375.642168928668,-300.53041502612984
pinus thunbergii,black pine,coniferous,49.25969,-123.247782,2376.1922286230265,-270.59527619511084
fagus sylvatica 'dawyck',,deciduous,49.260106,-123.247042,2445.4954065437514,-285.9243174268587
Acer circinatum,vine maple,deciduous,49.265299,-123.256351,2121.2638786395637,-1114.714919702943
fraxinus americana,american ash,deciduous,49.266246,-123.256945,2132.9168340924634,-1227.9200097888765
carpinus betulus,european hornbeam,deciduous,49.268011,-123.257743,2174.4574404047826,-1428.2840693606881
styrax japonicus,japanese snowbell,deciduous,49.268098,-123.2565,2258.725176626702,-1394.0838528554168
liriodendron tulipifera,tulip-poplar,deciduous,49.264396,-123.248033,2607.2220924299813,-740.3454152027908
thuja plicata,pacific red-cedar,coniferous,49.269643,-123.256139,2363.0210004963296,-1533.0560328962492
thuja plicata,pacific red-cedar,coniferous,49.269721,-123.256109,2369.041332722525,-1539.6674292887774
thuja plicata,pacific red-cedar,coniferous,49.269847,-123.256059,2378.865112461568,-1550.2945091322797
thuja plicata,pacific red-cedar,coniferous,49.269972,-123.255876,2397.1637212566056,-1556.2524436265774
chamaecyparis obtusa 'nana',,coniferous,49.268691,-123.258207,2180.425087141585,-1510.8589835165924
liriodendron tulilpifera,,deciduous,49.259771,-123.25132,2153.5479031400682,-400.1380665949281
liquidambar styraciflua,alligator-wood,deciduous,49.260242,-123.247513,2422.430808023672,-315.43838680169915
quercus palustris,pin oak,deciduous,49.265494,-123.251409,2448.3984267847704,-963.9592193199509
taxus baccata,yew,coniferous,49.265283,-123.252819,2346.903264695494,-991.7459263606717
Pseudotsuga menziesii,douglas-fir,coniferous,49.268159,-123.258256,2149.339266617867,-1460.4182690603234
Pseudotsuga menziesii,douglas-fir,coniferous,49.268467,-123.258479,2151.219487766256,-1498.2610265284125
Pseudotsuga menziesii,douglas-fir,coniferous,49.268526,-123.25833,2163.871901794946,-1498.9202423935058
fraxinus angustifolia 'raywood',,deciduous,49.269181,-123.255212,2398.191169413974,-1455.9278816133346
hammamelis virginiana ,witchhazel ,deciduous,49.25826,-123.252039,2028.08268383541,-276.7994147653577
juniperus ashei ,ashe juniper ,coniferous,49.258308,-123.25194,2036.9526789868723,-278.0995485558333
juniperus ashei ,ashe juniper ,coniferous,49.258337,-123.251961,2037.128925889327,-281.6629320350671
thuja plicata ,western red cedar ,coniferous,49.258152,-123.252278,2007.0830121280783,-274.43275871984565
thuja plicata ,western red cedar ,coniferous,49.258166,-123.252239,2010.3194420588925,-274.46390804427324
thuja plicata ,western red cedar ,coniferous,49.258393,-123.251885,2044.944009310331,-284.5375573374446
thuja plicata ,western red cedar ,coniferous,49.25902,-123.251994,2070.8825501912825,-349.71998887343955
picea sitchensis ,sitka spruce ,coniferous,49.259083,-123.252003,2073.6140198953813,-356.2023122765097
acer palmatum ,japanese maple ,deciduous,49.259173,-123.252072,2073.9156064891845,-367.392621899774
acer palmatum ,japanese maple ,deciduous,49.259196,-123.25203,2077.8170439119613,-368.20253709874737
acer palmatum ,japanese maple ,deciduous,49.259196,-123.252068,2075.3800548640097,-369.508744723836
acer palmatum ,japanese maple ,deciduous,49.259222,-123.252112,2073.923758705215,-373.56876514899886
acer palmatum ,japanese maple ,deciduous,49.259251,-123.252224,2068.2641033560076,-380.2601654338822
acer circinatum ,vine maple ,deciduous,49.259244,-123.251911,2087.9695450382073,-368.8152617882241
